                                                    ,KOL_ID,Username,Followers,Country,Social media URL,Restaurant name,Restaurant ID,Cuisine Type,Package Type,Package price,Package Name,Alergies,Comments,Fee per content,Hotel required,Validation 1,Sales in charge,Target Date,Target time,No people,Sales Check,Line_thread_id,Booking ID,Target post date,Post details,Notes,index
,HH-LOFOS,foodtravelexplores,"12,998",Pattaya,,The Sky 32 at Grande CentrePoint Hotel (Pattaya),2022,"International, Fusion, Thai, European",Party Pack,1290,Set of 4 Dishes + Free Flow Drink (90 Mins.) for 1 Person,,,"6,234",,Approved,dew@hungryhub.com,05/05/2025,6:00:00 pm,,Validated,,,,Check Later,,
,HH-LOMEX,megsandalex,"20,381",Bangkok,,IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),5836,European,Party Pack,2236,Dinner: Intro to IGNIV 4 Course,*Allergic to Seafood*,,"7,000",,Approved,ravi@hungryhub.com,07/05/2025,7:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOAJE,aj.some.more,"19,521",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599, Hungry Hub Pack A - Select 1 Premium Menu,,,"10,500",,Approved,surasit@hungryhub.com,08/05/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOGOE,gooutwithcharlie,"44,500",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,2290,Sharing Set for 2 People with Cocktail,,,"9,000",,Approved,ravi@hungryhub.com,08/05/2025,5:30:00 pm,2,Validated,,,,Check Later,,
,HH-INJOR,jocelapar,"78,525",Bangkok,,Vertigo TOO Banyan Tree,712,"Fusion, International",Party Pack,2803,8 Dishes with Mocktails for 3 People,,,"6,500",TRUE,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",08/05/2025,12:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOAJE,aj.some.more,"19,521",Bangkok,,The Seafood Cafe & Restaurant,1433,"Thai, Chinese, International, Fusion",All You Can Eat,1490,NEW: All You Can Eat with Premium Seafood Buffet + 1 Premium Menu,,,"10,500",,Approved,sirirat@hungryhub.com,09/05/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOGOE,gooutwithcharlie,"44,500",Bangkok,,Great Harbour International Buffet,3005,"Chinese, European, Fusion, International, Japanese, Thai",All You Can Eat,1100,Great Harbour: Weekday Buffet (Monday- Friday),,,"9,000",,Approved,bond@hungryhub.com,09/05/2025,5:00:00 pm,2,Validated,,,,Posted,,
,HH-INJOR,jocelapar,"78,525",Bangkok,,Kam's Roast Central World,5251,Chinese,Party Pack,1650,Premium Set for 3 People,,,"6,500",TRUE,Approved,earth@hungryhub.com,09/05/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-INJOR,jocelapar,"78,525",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,500",TRUE,Approved,surasit@hungryhub.com,09/05/2025,7:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOGGO,gg_guoguo,"184,700",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"5,000",,Approved,surasit@hungryhub.com,10/05/2025,5:00:00 pm,1,Booked,,7475794,26/05/2025,Check Later,,
,HH-LODAJ,daddy.xj,"126,196",Bangkok,,Vantage Point QSNCC,3901,"European, French, German, Italian, Mediterranean, Spanish, Steakhouse",All You Can Eat,990,Vantage Buffet with Drinks (Lunch),,,"5,000",,Approved,bond@hungryhub.com,10/05/2025,11:00:00 am,"2 (1 Adult, 1 kid)",Validated,,,,Check Later,,
,HH-LOGOE,gooutwithcharlie,"44,500",Bangkok,,Copper Beyond Buffet The Sense Pinklao (Hungry Hub),837,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"9,000",,Approved,surasit@hungryhub.com,10/05/2025,12:30:00 pm,2,Validated,,,,Check Later,,
,HH-INJOR,jocelapar,"78,525",Bangkok,,Paii at The House on Sathorn,1545,Thai,Party Pack,999,Paii | 3 - Course Set Menu,,,"6,500",TRUE,Approved,ravi@hungryhub.com,10/05/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-INJOR,jocelapar,"78,525",Bangkok,,About Beef Lava Grill,4751,"Japanese, Fusion, Thai",All You Can Eat,1199,Premium International Buffet (Only for Hungry Hub),,,"6,500",TRUE,Approved,dew@hungryhub.com,10/05/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LODAJ,daddy.xj,"126,196",Bangkok,,W Omakase Pradit Manutham,3818,Japanese,Party Pack,4666,Seasonal Omakase 21 Course,,,"5,000",,Approved,sirirat@hungryhub.com,11/05/2025,1:00:00 pm,"2 (1 Adult, 1 kid)",Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Saffron Contemporary Thai Signature Rooftop Banyan Tree Bangkok,2506,"Thai, Thai Isaan, Thai Southern, Thai Northern",Party Pack,3500,Romantic Dinner w/ 1 Bottle of Wine (Book 2 days in advance),,,"3,351",,,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",14/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Khao Wireless Road,2382,Thai,Party Pack,4630,Premium Set for 2 People,,,"3,351",,,bond@hungryhub.com,15/05/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-INBI0,bibiw820,"105,975",Bangkok,Instagram.com/bibiw820,Great Harbour International Buffet,,"Chinese, European, Fusion, International, Japanese, Thai",All You Can Eat,1100,Great Harbour: Weekday Buffet (Monday- Friday),,Blogger from KKDAY,0,,,bond@hungryhub.com,15/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOMEX,megsandalex,"20,381",Bangkok,,Topgolf Megacity,3828,"American, International, Thai",Xperience,2199,PLAY.FOOD.FUN B,*Allergic to Seafood*,,"7,000",,Approved,bond@hungryhub.com,15/05/2025,6:00:00 pm,4,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Mon-Fri),,,"3,351",,,earth@hungryhub.com,16/05/2025,11:00:00 am,2,Validated,,,,Posted,,
,HH-LOAJE,aj.some.more,"19,521",Bangkok,,Samosorn One Bangkok,5349,Thai,Party Pack,1720,Sharing Set for 2 People,,,"10,500",,Approved,bond@hungryhub.com,17/05/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Bangkok,Instagram.com/ali.al5baz,Vantage Point One Bangkok,5267,"European, Italian, French, German, Mediterranean, Spanish, Steakhouse",All You Can Eat,1990,The Park Buffet with Drinks (Dinner),,,"3,351",,,bond@hungryhub.com,17/05/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBRL,brenttimmtravel,"316,690",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"10,000",,Approved,surasit@hungryhub.com,17/05/2025,12:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOKAF,katie.caf,"50,558",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"8,379",,Approved,surasit@hungryhub.com,17/05/2025,12:30:00 pm,2,Validated,,,,Check Later,,
,HH-LOMEX,megsandalex,"20,381",Bangkok,,"Le Petit Chef at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok",5839,"Fusion, Italian, French, Japanese, Mexican, Spanish",Party Pack,2782,Menu A - LE PETIT CHEF'S GRAND VOYAGE: A CULINARY JOURNEY (Booking 1 day in advance),*Allergic to Seafood*,,"7,000",,Approved,ravi@hungryhub.com,17/05/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOALZ,ali.al5baz,"94,511",Pattaya,Instagram.com/ali.al5baz,The Barracuda Sky Gala at Akara (Pattaya),5759,"Italian, Fusion, European, Steakhouse",Party Pack,1500,Barracuda SET C,,,"3,351",,,sirirat@hungryhub.com,18/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOMEX,megsandalex,"20,381",Bangkok,,Apsara Cruise by Banyan Tree,5711,Thai,Party Pack,3300," 4-Course Set l Non-Vegetarian (Food only) + Add on Wine 2,700",*Allergic to Seafood*,,"7,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",22/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOAJE,aj.some.more,"19,521",Bangkok,,Neta Grill Seacon Square Srinagarindra,915,Japanese,All You Can Eat,1662,"Neta Grill Premium Buffet (Discount 10%, 15%)",,,"10,500",,Approved,earth@hungryhub.com,23/05/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBRL,brenttimmtravel,"316,690",Bangkok,,Jharokha by Indus,4652,Indian,Party Pack,2400,Exclusive Lunch Sharing Set for 2 People,,,"10,000",,Approved,ravi@hungryhub.com,23/05/2025,1:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBRL,brenttimmtravel,"316,690",Bangkok,,Samosorn One Bangkok,5349,Thai,Party Pack,1720,Sharing Set for 2 People,,,"10,000",,Approved,bond@hungryhub.com,23/05/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOKAF,katie.caf,"50,558",Bangkok,,Jharokha by Indus,4652,Indian,Party Pack,2400,Exclusive Lunch Sharing Set for 2 People,,,"8,379",,Approved,ravi@hungryhub.com,23/05/2025,1:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOKAF,katie.caf,"50,558",Bangkok,,Samosorn One Bangkok,5349,Thai,Party Pack,1720,Sharing Set for 2 People,,,"8,379",,Approved,bond@hungryhub.com,23/05/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-INPLG,pl_linggggg,"64,562",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,0,,Approved,surasit@hungryhub.com,23/05/2025,7:30:00 pm,2,Validated,,,15/06/2025,Top 2 Buffet in Bangkok,TAT x Malaysia,
,HH-INPLG,pl_linggggg,"64,562",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Sat-Sun),,,0,,Approved,earth@hungryhub.com,25/05/2025,7:30:00 pm,2,Validated,,,15/06/2025,Top 2 Buffet in Bangkok,TAT x Malaysia,
,HH-LOBRL,brenttimmtravel,"316,690",Bangkok,,Gentle Butcher by Bangkok Butcher,4889,"Steakhouse, Fusion, American, Mexican",All You Can Eat,1690,Premium Dry Aged Gentle Butcher Buffet Steak,,,"10,000",,Approved,earth@hungryhub.com,26/05/2025,1:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOKAF,katie.caf,"50,558",Bangkok,,Gentle Butcher by Bangkok Butcher,4889,"Steakhouse, Fusion, American, Mexican",All You Can Eat,1690,Premium Dry Aged Gentle Butcher Buffet Steak,,,"8,379",,Approved,earth@hungryhub.com,26/05/2025,1:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBAY,bangkok.discovery,"199,227",Bangkok,Instagram.com/bangkok.discovery,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Mon-Fri),,,"20,250",,Approved,earth@hungryhub.com,27/05/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBRL,brenttimmtravel,"316,690",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,2790, ,,,"10,000",,Approved,ravi@hungryhub.com,27/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-INIAC,iamverac,"7,953",Bangkok,Instagram.com/iamverac,RIB ROOM & BAR Steakhouse The Landmark Bangkok,,"French, Steakhouse",Party Pack,4050,RIB ROOM Set Menus 8 Menus for 3 People w/Drinks,,Blogger from KKDAY,0,,,sirirat@hungryhub.com,27/05/2025,6:30:00 pm,4,Validated,,,,Check Later,,
,HH-LOKAF,katie.caf,"50,558",Bangkok,,Siam Yacht Club Royal Orchid Sheraton Riverside,3862,"International, Italian, Japanese, Thai",Party Pack,2790,Outdoor Romantic Set : 4 Dishes & 1 Bottle of Sparkling Wine (Advance 2 Days),,,"8,379",,Approved,ravi@hungryhub.com,27/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOONW,onelifetravelwow,"56,546",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"7,000",,Approved,surasit@hungryhub.com,27/05/2025,7:30:00 pm,3,Validated,,,,Check Later,Sirada,
,HH-INCHK,cherryfunghk,"31,557",Bangkok,Instagram.com/cherryfunghk,OJI Omakase Sathorn,,Japanese,Party Pack,1890,OJI Omakase Essentials 14-Course,,Blogger from KKDAY,0,,,bond@hungryhub.com,28/05/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-INVAT,vanishaoct,"110,445",Bangkok,http://instagram.com/vanishaoct,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,666",TRUE,Approved,surasit@hungryhub.com,03/06/2025,12:00:00 pm,2,Validated,,,,Check Later,,
,HH-INVAT,vanishaoct,"110,445",Bangkok,http://instagram.com/vanishaoct,"Jim Thompson, A Thai Restaurant",4195,Thai,Party Pack,2590,Jim's Party A for 2 People inc. 1 drink per person,,,"6,666",TRUE,Approved,ravi@hungryhub.com,03/06/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBAE,bangkok.vibe,"33,382",Bangkok,https://www.instagram.com/bangkok.vibe/,Kwann at Nysa Hotel Bangkok,4989,Thai,Party Pack,2590,Kwann Sharing Set for 2 People,,,"10,125",,Approved,bond@hungryhub.com,04/06/2025,6:00:00 pm,,Validated,,,,Posted,,
,HH-INVAT,vanishaoct,"110,445",Bangkok,http://instagram.com/vanishaoct,Nimitr Rooftop by 137 Pillars,2733,Thai,Party Pack,1890,4 Dishes & 4 Mocktail and Cocktail OR 1 Bottle of Wine for 2 People,,,"6,666",TRUE,Approved,bond@hungryhub.com,04/06/2025,5:00:00 pm,2,Validated,,,,Posted,,
,HH-INVAT,vanishaoct,"110,445",Bangkok,http://instagram.com/vanishaoct,Kwann at Nysa Hotel Bangkok,4989,Thai,Party Pack,2590,Kwann Sharing Set for 2 People,,,"6,666",TRUE,Approved,bond@hungryhub.com,04/06/2025,8:00:00 pm,2,Validated,,,,Posted,,
,HH-LOAJE,aj.some.more,"19,521",Bangkok,,Assembly Point Thonglor @ One One Hotel Bkk,1157,"Thai, Thai Isaan",All You Can Eat,999,"AYCE & Free-flow Non-Alcoholic Drinks, Cocktail, Wine, and Beer for 90 Minutes",,,"10,500",,Approved,ravi@hungryhub.com,06/06/2025,6:30:00 pm,2,Validated,,,,Posted,,
,HH-LOGOE,gooutwithcharlie,"44,500",Bangkok,,Assembly Point Thonglor @ One One Hotel Bkk,1157,"Thai, Thai Isaan",All You Can Eat,999,"AYCE & Free-flow Non-Alcoholic Drinks, Cocktail, Wine, and Beer for 90 Minutes",,,"9,000",,Approved,ravi@hungryhub.com,06/06/2025,6:30:00 pm,3,Validated,,,,Posted,,
,HH-INVAT,vanishaoct,"110,445",Bangkok,,Khao Jaan-Prod CentralWorld,4311,Thai,Party Pack,1450,Sharing Set for 2 People,,,"6,666",TRUE,Approved,bond@hungryhub.com,06/06/2025,11:00:00 am,2,Validated,,,,Posted,,
,HH-INGOS,goofytwocooks,"28,732",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599, Hungry Hub Pack A - Select 1 Premium Menu,,,"3,797",,Approved,surasit@hungryhub.com,10/06/2025,12:00:00 pm,3,Validated,,,20/06/2025,Check Later,,
,HH-INGOS,goofytwocooks,"28,732",Bangkok,,Oishi Grand Siam Paragon,4039,"European, Fusion, International, Japanese",All You Can Eat,1749,Oishi Grand: Platinum Buffet,,,"3,797",,Approved,bond@hungryhub.com,11/06/2025,11:30:00 am,3,Validated,,,21/06/2025,Check Later,,
,HH-INGOS,goofytwocooks,"28,732",Bangkok,,Khao Wireless Road,2382,Thai,Party Pack,4490,Sharing Set for 3 People,,,"3,797",,Approved,bond@hungryhub.com,12/06/2025,12:00:00 pm,3,Validated,,,23/06/2025,Check Later,,
,HH-SGLIE,liveloveatwithjie,"20,920",Singapore,,Mama Diam 妈妈店,5735,"Singaporean, Chinese",Party Pack,108,Sharing Set for 2 People,,,"5,063",,Approved,fred@hungryhub.com,14/06/2025,7:00:00 pm,2,Booked,,7700367,,Check Later,,
,HH-LOONW,onelifetravelwow,"56,546",Bangkok,,Restaurant PATT,5904,"French, Chinese, International",Party Pack,4081,Best of Patt,,,"7,000",,Approved,sirirat@hungryhub.com,14/06/2025,6:00:00 pm,3,Validated,,,,Check Later,Sirada,
,HH-LOONW,onelifetravelwow,"56,546",Bangkok,,Brasserie 9,901,French,Party Pack,2590,Pack A : Brasserie 9 Set Menu,,,"7,000",,Approved,pawarisa@hungryhub.com,16/06/2025,6:00:00 pm,3,Validated,,,,Posted,Sirada,
,HH-LOBAY,bangkok.discovery,"199,227",Bangkok,Instagram.com/bangkok.discovery,Hotaru 119 Omakase & Izakaya - Sanampao,5939,Japanese,Party Pack,1765,Omakase 15-Course for 1 Person,,,"20,250",,Approved,bond@hungryhub.com,19/06/2025,5:30:00 pm,2,Validated,,,,Posted,,
,HH-LODAK,dannyinbangkok,"26,466",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Mon-Fri),,,"8,000",,Approved,earth@hungryhub.com,19/06/2025,6:00:00 pm,,Validated,,,,Check Later,,
,HH-LOBUW,bubufoodshow,"110,178",Bangkok,,Saneh Jaan (One Michelin star),#N/A,#N/A,Party Pack,2190,Lunch Set for 2 People (Mon-Fri),,,"9,800",,Approved,#N/A,20/06/2025,11:30:00 am,2,Validated,,,25/06/2025,Check Later,,
,HH-LOBUW,bubufoodshow,"110,178",Bangkok,,Vertigo Rooftop Banyan Tree,280,"European, French, Fusion, International, Italian",Party Pack,2975,Choose 3 dishes + 3 Cocktails,,,"9,800",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",20/06/2025,5:30:00 pm,2,Validated,,,27/06/2025,Posted,,
,HH-SGMEY,melicacy,"44,191",Singapore,Instagram.com/melicacy,Les Bouchons at Robertson Quay,5640,"European, French, Steakhouse",Party Pack,100,A Taste of France l 3-Course Meal,,,"5,063",,,fred@hungryhub.com,20/06/2025,7:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOBUW,bubufoodshow,"110,178",Bangkok,,Hotaru 119 Omakase & Izakaya - Sanampao,5939,Japanese,Party Pack,1176,Omakase 14-Course for 1 Person,,,"9,800",,Approved,bond@hungryhub.com,21/06/2025,5:30:00 pm,2,Validated,,,22/06/2025,Check Later,,
,HH-LOBUW,bubufoodshow,"110,178",Bangkok,,Mia (One Michelin Star),4911,"European, French",Party Pack,6900,Hungry Hub Exclusive: Taste of Mia 8 Course,,,"9,800",,Approved,bond@hungryhub.com,21/06/2025,7:00:00 pm,2,Validated,,,02/07/2025,Posted,,
,HH-LOBUW,bubufoodshow,"110,178",Bangkok,,IGNIV Bangkok at The St.Regis Bangkok (One Michelin Star),5836,European,Party Pack,2707,Lunch Break - 4 Course Upgrade to 5 ,,,"9,800",,Approved,ravi@hungryhub.com,21/06/2025,12:00:00 pm,2,Validated,,,28/06/2025,Posted,,
,HH-LOMYG,myfoodiegallerysg,"30,467",Singapore,,Enjoy Eating House and Bar,5462,"Chinese, Singaporean",,,,,,,,,fred@hungryhub.com,23/06/2025,,,Validated,,,,Check Later,,
,HH-LOIMU,immikeyu,"319,003",Bangkok,,NAMA Japanese and Seafood Buffet (Hungry Hub),5149,Japanese,All You Can Eat,1650,Premium Box 1 Set + Exclusive Menu + Buffet Line (Mon-Fri),,,"25,000",,Approved,earth@hungryhub.com,26/06/2025,5:00:00 pm,2,Validated,,,,Check Later,,
,HH-LOMYG,myfoodiegallerysg,"30,467",Singapore,,Hai Tien Lo at Pan Pacific Hotel Singapore,5457,Chinese,,,,,,,,,fred@hungryhub.com,26/06/2025,,,Validated,,,,Check Later,,
,HH-LOONW,onelifetravelwow,"56,546",Bangkok,,Neta Grill Market Village Suvarnabhumi,3786,Japanese,All You Can Eat,1495,"Neta Grill Premium Buffet (Discount 10%, 15%)",,,"7,000",,Approved,earth@hungryhub.com,26/06/2025,11:00:00 am,3,Validated,,,,Posted,Sirada,
,HH-LOTHS,thailand.trends,"40,272",Bangkok,,Apsara Cruise by Banyan Tree,5711,Thai,Party Pack,,,,,"6,000",,Approved,"ravi@hungryhub.com, naravadee.sw@banyantree.com,",26/06/2025,6:00:00 pm,2,Validated,,,05/07/2025,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,,Paii at The House on Sathorn,1545,Thai,Party Pack,2390,Sharing Set for 2 People,,,"6,400",TRUE,Approved,ravi@hungryhub.com,26/06/2025,12:00:00 pm,,Validated,,,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,Instagram.com/trip_or_treatss,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,400",,,surasit@hungryhub.com,27/06/2025,7:30:00 pm,2,Booked,,7565974,,Check Later,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,Instagram.com/trip_or_treatss,Neta Grill Market Village Suvarnabhumi,3786,Japanese,All You Can Eat,1662,"Neta Grill Premium Buffet (Discount 10%, 15%)",,,"6,400",,,earth@hungryhub.com,27/06/2025,11:30:00 am,2,Booked,,7604290,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,,Neta Grill Market Village Suvarnabhumi,3786,Japanese,All You Can Eat,1662,"Neta Grill Premium Buffet (Discount 10%, 15%)",,,"6,400",TRUE,Approved,earth@hungryhub.com,27/06/2025,11:30:00 am,,Validated,,,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,Instagram.com/trip_or_treatss,Na Klongwan Vibhavadi 20,2681,"Thai, Chinese",All You Can Eat,1111,Premium Seafood Buffet (2 Hrs.),,,"6,400",,,dew@hungryhub.com,28/06/2025,12:30:00 pm,2,Booked,,7526777,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,Instagram.com/trip_or_treatss,Vantage Point One Bangkok,5267,"European, Italian, French, German, Mediterranean, Spanish, Steakhouse",All You Can Eat,1550,The City Buffet with Drinks (Dinner),,,"6,400",,,bond@hungryhub.com,28/06/2025,6:00:00 pm,2,Booked,,7572588,,Posted,,
,HH-INBRO,brunobarbieriro,"40,100",Bangkok,https://www.tiktok.com/@brunobarbieriro,57th Street Marriott Sukhumvit 57,1826,"International, Fusion",Party Pack,,,,,"5,000",,Approved,bond@hungryhub.com,28/06/2025,1:00:00 pm,2,Validated,,,04/07/2025,Check Later,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,,Vantage Point One Bangkok,5267,"European, Italian, French, German, Mediterranean, Spanish, Steakhouse",All You Can Eat,1550,The City Buffet with Drinks (Dinner),,,"6,400",TRUE,Approved,bond@hungryhub.com,28/06/2025,6:00:00 pm,,Validated,,,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,,Na Klongwan Vibhavadi 20,2681,"Thai, Chinese",All You Can Eat,1111,Premium Seafood Buffet (2 Hrs.),,,"6,400",TRUE,Approved,dew@hungryhub.com,28/06/2025,12:30:00 pm,,Validated,,,,Posted,,
,HH-INTRS,trip_or_treatss,"80,165",Bangkok,Instagram.com/trip_or_treatss,Paii at The House on Sathorn,1545,Thai,Party Pack,2390,Sharing Set for 2 People,,,"6,400",,,ravi@hungryhub.com,29/06/2025,11:00:00 am,2,Booked,,7582395,,Posted,,
,HH-LOBAE,bangkok.vibe,"33,382",Bangkok,https://www.instagram.com/bangkok.vibe/,Baan Suriyasai @ One Bangkok,5977,Thai,Party Pack,2495,Premium Set for 2 People,,,"10,125",,Approved,bond@hungryhub.com,02/07/2025,5:00:00 pm,,Validated,,,,Check Later,,
,HH-LOFLS,fluffyunicorneats,"18,477",Bangkok,,Copper Beyond Buffet Gaysorn Amarin (Hungry Hub),4503,"European, Fusion, International, Japanese, Thai",All You Can Eat,2599,Hungry Hub Pack A - Select 1 Premium Menu,,,"6,986",,Approved,surasit@hungryhub.com,03/07/2025,5:00:00 pm,2,Validated,,,,Check LAter,,
,HH-LOFLS,fluffyunicorneats,"18,477",Bangkok,,Hotaru 119 Omakase & Izakaya - Sanampao,5939,Japanese,Party Pack,1176,Omakase 14-Course for 1 Person,,,"6,986",,Approved,bond@hungryhub.com,04/07/2025,1:30:00 pm,2,Validated,,,,Posted,,
,HH-LOFLS,fluffyunicorneats,"18,477",Bangkok,,Saneh Jaan (One Michelin star),.,#N/A,Party Pack,3790,Sharing Set for 2 People,,,"6,986",,Approved,#N/A,05/07/2025,1:00:00 pm,2,Validated,,,,Check LAter,,
,HH-LOFLS,fluffyunicorneats,"18,477",Bangkok,,Oishi Grand Siam Paragon,4039,"European, Fusion, International, Japanese",All You Can Eat,1119,Oishi Grand: Premium Buffet,,,"6,986",,Approved,bond@hungryhub.com,06/07/2025,12:00:00 pm,2,Validated,,,,Check LAter,,
,HH-LOFLS,fluffyunicorneats,"18,477",Bangkok,,Bar.Yard at Kimpton Maa-Lai Bangkok,5935,"Mexican, International",Party Pack,1990,High Vibe Dry: 4 Dishes with 2 Non-Alcohol for 2 People,,,"6,986",,Approved,sirirat@hungryhub.com,07/07/2025,7:00:00 pm,2,Validated,,,,Check LAter,,
,HH-LOBAY,bangkok.discovery,"199,227",Bangkok,Instagram.com/bangkok.discovery,Restaurant PATT,5904,"French, Chinese, International",Party Pack,4081, Best of Patt,,,"20,250",,Approved,sirirat@hungryhub.com,09/07/2025,6:00:00 pm,2,Validated,,,,Check Later,,
,HH-INJKO,jkonthego,"38,900",Singapore,,Edge at Pan Pacific Hotel Singapore,5465,International,All You Can Eat,97,Weekday Dinner Buffet (Sun-Thu),,,"1,671",FALSE,Approved,fred@hungryhub.com,10/07/2025,6:00:00 pm,2,Booked,,7671275,,Posted,,
,HH-LOGOE,gooutwithcharlie,"44,500",Bangkok,,Vantage Point One Bangkok,5267,"European, Italian, French, German, Mediterranean, Spanish, Steakhouse",All You Can Eat,1450,The City Buffet with Drinks (Lunch),,,"9,000",,Approved,bond@hungryhub.com,10/07/2025,2:00:00 pm,4,Validated,,,,Check LAter,,
