,restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes
383,Fatboy Izakaya Ekkamai,3.023211,12.876559,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
384,Feed the beast,3.5460792,12.568608,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
385,Fighto Izakaya,2.877192,6.248385,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
386,FigureGround Wine Bar,-0.89057565,10.501514,3,Good Location,1,100.0,Good Location
387,Fish Club Andaz Pattaya Jomtien Beach (Pattaya),-4.2687874,5.91074,1,Restaurant with Good View,1,100.0,Restaurant with Good View
388,Five Crossing Eatery & Winery,3.810155,7.80069,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
389,Flann O'Brien's Irish Pub,5.790369,14.781144,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
390,Flashback Rooftop Bar,-3.3179107,9.445542,3,Good Location,1,100.0,Good Location
391,Flower Mala Hotpot,6.2805986,13.180805,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
392,Fomo Brunch & Dining (Chonburi),0.71310574,13.723602,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
393,Fook Kin 福劲,5.671609,11.789757,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
394,Frame Cafe & Restaurant,1.4933184,16.006044,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
395,Friend Station On Nut 44-46,5.921032,11.917503,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
396,Fu Lin Bar & Kitchen (Clarke Quay),-2.8442292,11.360532,3,Good Location,1,100.0,Good Location
397,Fueng Fah at Mövenpick Suriwongse Hotel (Chiang Mai),0.5117036,11.050807,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
398,Fufu Shabu Ari,7.589952,5.3004346,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
399,Fufu Shabu G Tower Grand Rama 9,6.836486,3.8844063,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
400,Fufu Shabu Rama 4,7.13679,4.286198,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
401,Fujiyama Sashimi & Shabu Buffet,7.889788,7.1556754,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
402,Fungpls,4.4794807,15.223396,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
403,GINGER FARM kitchen at Central Phuket,1.8845416,5.16129,1,Restaurant with Good View,1,100.0,Restaurant with Good View
404,GaGa Udon House Thong Lor,2.755272,18.140806,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
405,Garden Salad by Ms.Chu,3.349705,9.96868,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
406,Garret Fish & Chips Ari,3.031998,9.125154,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
407,Garret Fish & Chips Sammakorn,2.971823,8.739679,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
408,Gekka,3.4681802,12.397041,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
409,Ginger Farm Kitchen 101 True Digital Park,2.1958575,7.089177,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
410,Ginger Farm Kitchen Central Westville,3.0254042,5.9171987,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
411,Ginger Farm Kitchen Centralworld,2.3244915,7.169439,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
412,Ginger Farm kitchen Terminal 21 (Pattaya),-3.7076442,6.8570952,1,Restaurant with Good View,1,100.0,Restaurant with Good View
413,GingerBowl Cafe,0.28099838,16.249762,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
414,Gingerbread House,3.3548102,17.749922,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
415,Ginpao Phochana,3.0131867,10.142621,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
416,Ginprik,2.88539,10.057183,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
417,Glai Hwor,3.3351986,11.414365,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
418,Gluttony by The Sin,3.4028933,13.179403,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
419,Gogilang,5.25194,13.141698,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
420,Goji Kitchen Grill & Bar at Pattaya Marriott Resort and Spa (Pattaya),-3.5146825,6.8259006,1,Restaurant with Good View,1,100.0,Restaurant with Good View
421,Golden State Vegan,3.1509657,3.7951777,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
422,Goodie Steak @ Bang Phlat,8.235116,10.204565,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
423,Goodie Steak @ Fai Chai – Phran Nok,7.967148,10.047562,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
424,Goodie Steak @ Wutthakat,7.589655,9.888424,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
425,Got to Grill,2.301301,5.4513936,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
426,Gotoku by Shabu King,7.7674546,5.778447,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
427,Great&Grand Sweet Destination (Pattaya),-4.7684636,7.2938585,1,Restaurant with Good View,1,100.0,Restaurant with Good View
428,Green House Bistro,0.29761076,7.6083384,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
429,Greenhouse Congee & Noodles by Landmark,2.1657228,12.971188,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
430,Grilled Station,5.150751,8.918885,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
431,Grok 1970,2.2355225,11.602725,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
432,Gui Ratchayo,4.994111,12.126886,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
433,Guzadrift Izakaya,2.4404166,15.460013,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
434,Gyu En Siam Yakiniku,9.937944,4.3936243,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
435,Gyu-Ya Yakiniku Rama 3,6.3370266,3.416711,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
436,GyuBei Yakiniku,3.4597802,7.121063,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
437,Gyunobi Yakiniku,4.4339533,9.040018,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
438,HAJI land,3.4151723,9.707542,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
439,HAN ROLL BKK,4.636997,13.034592,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
440,HANJI Taiwanese Hot Pot Sala Daeng,2.9631288,11.518496,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
441,HANJI Taiwanese Hot Pot Thonglor,0.44430265,9.998591,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
442,HEY Mookrata - Charoen Nakhon,4.627105,9.417598,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
443,HOUSE of TANGO,3.1978948,17.256884,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
444,HUA SENG HONG Central Plaza Chaengwattana,3.5716767,5.4279914,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
445,Habitat Hotel Staycation (Hua Hin),-2.3960397,2.746816,1,Restaurant with Good View,1,100.0,Restaurant with Good View
446,Hagi Centara Grand at Central Plaza Ladprao Bangkok,4.485415,6.18134,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
447,Hagi at Centara Grand Beach Resort & Villas (Hua Hin),-2.156447,3.276665,1,Restaurant with Good View,1,100.0,Restaurant with Good View
448,Hagow Yaowarat,4.0743613,8.947633,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
449,Hainanese Chicken Rice C.P Tower Silom,2.8856158,8.494325,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
450,Hanbab Korean Restaurant,2.2683249,11.474202,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
451,Hangetsu Omakase,2.9798248,0.5430114,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
452,Hannari Cafe de Kyoto Thonglor,0.11427057,16.274988,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
453,Happening Dine and Bar,-2.1111395,12.390092,3,Good Location,1,100.0,Good Location
454,Haps - Brunch & More,3.052437,14.350326,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
455,Hard Rock Cafe Bangkok,0.2503178,16.660883,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
456,Heights At BKK,2.2827697,14.251213,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
457,Hen Hao Ma La Sai Phan,1.3947885,7.6800857,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
458,Heng Heng Lao Suthisan,5.397916,12.819535,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
459,Hiateeyai @ Samyan,3.868587,11.905129,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
460,Hidden House Cafe & Bistro (Samut Sakhon),1.2271159,14.952856,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
461,High River Café (Ratchaburi),1.3667706,16.175686,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
462,High Tea by Pickaboo,-0.54509777,10.112625,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
463,HighHouse,3.91761,14.270568,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
464,"Hmmmm, Grilled Pork Udomsuk",4.5085535,8.872316,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
465,Ho Kitchen Rama 3,5.9416223,3.0087986,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
466,Hogar bar,-1.788857,11.999777,3,Good Location,1,100.0,Good Location
467,Hokkaido Yakidon,4.309255,8.7562,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
468,Holli Bolli Rooftop Bar @ Radisson Suites Bangkok Sukhumvit,-3.8848088,10.273196,3,Good Location,1,100.0,Good Location
469,Hom Cham,3.7323117,11.580348,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
470,Hom Duan,2.055193,10.742258,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
471,Homie Bar & Restaurant,-1.504207,12.323605,3,Good Location,1,100.0,Good Location
472,Hong Kong Fisherman,1.8242278,9.21404,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
473,Hong Teh Chinese Restaurant,1.7291012,8.876301,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
474,Honomi Shabu & Omakase,3.458592,0.69700766,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
475,Hooligan by Apache,-2.71785,5.119364,1,Restaurant with Good View,1,100.0,Restaurant with Good View
476,House of Chandra Nakhon Pathom,2.5225224,18.24176,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
477,House of Kin KORAT Centara Korat (Nakhon Ratchasima),2.8290892,18.251354,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
478,Hoy Mahachon,2.9029477,13.86154,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
479,Huajai Siam Square One,9.987817,4.2273073,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
480,Huaron Mookrata,3.7103798,12.4543295,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
481,Hump zaabb,4.341188,14.810125,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
482,Hunger Bear (Nakhon Sawan),5.181252,12.501074,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
483,Hungry Brown Eat and Coffee Roasters,-1.362538,14.385525,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
484,Huolong Chinese Mala HotPot & Grill,3.0562825,7.4239526,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
485,Hyde & Seek Athenee Tower,4.9505267,15.114249,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
486,Hyde & Seek Silom Edge,-3.0429606,8.661583,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
487,IDYLL Bistro Rama 3,0.15552606,6.96928,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
488,IKKI IZAKAYA,1.7148641,13.036763,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
489,IMM Restaurant,2.3477373,12.878435,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
490,IMPACT Lakefront,4.6464663,14.928052,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
491,ISEA Sky & The Jetty At Veranda Resort Na Jomtien (Pattaya),-2.793727,6.729804,1,Restaurant with Good View,1,100.0,Restaurant with Good View
492,Ichi-Meshi Rangsit,5.0796113,11.963291,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
493,Ichi-Meshi Salaya,6.3001256,11.975324,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
494,Im Pla Phao Prannok,3.549027,10.150181,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
495,Im-Erb Rama2,5.651506,6.296961,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
496,Indigo Bar at Bay Beach Resort Jomtien (Pattaya),-2.9873807,5.7480226,1,Restaurant with Good View,1,100.0,Restaurant with Good View
497,Indigo Rooftop Bar (Pattaya),-3.683618,8.236019,3,Good Location,1,100.0,Good Location
498,Iron Pan Suanplern Market,2.8644536,12.267639,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
499,Isea Beach Bar at Veranda Resort & Villas (Hua Hin),-2.0358639,3.5086854,1,Restaurant with Good View,1,100.0,Restaurant with Good View
500,Itaewon class (Khaoyai),5.5160294,12.864271,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
501,Izakaya Goichi 51,4.9041963,14.328119,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
502,Izakaya Naihua,4.899869,13.124834,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
503,Izumidai The Alley Ram Inthra,6.3834486,13.479582,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
504,JAO Ping River Cruise at Anantara Chiang Mai Resort,-1.8662962,6.320612,1,Restaurant with Good View,1,100.0,Restaurant with Good View
505,JC Stars Cafe,-0.12245087,16.3492,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
506,JHOL Coastal Indian Cuisine,0.61238277,10.168469,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
507,JP French,1.3270009,9.20689,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
508,JPteres at Grand Hyatt Kuala Lumpur,1.6117401,11.704572,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
509,JUBANG Premium Aged BBQ Bangna,9.222221,7.951006,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
510,JUMBO Seafood Siam Paragon,10.26949,4.3695602,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
511,Jaan Joor (Chiang Mai),2.6588948,11.798745,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
512,Jackson,4.7158318,14.12711,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
513,Jacob Barn,6.7251086,9.949717,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
514,Jade At The Fullerton Hotel Singapore,0.83806986,12.3153515,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
515,Jade Garden Pinklao,7.4559226,6.943165,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
516,Jae Keang Banthat Thong,5.0950527,9.20616,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
517,Jaekoy Isaan Seafood Kingpetch Phetchaburi 10,7.694666,12.625843,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
518,Jakkrawad Chill Restrobar,3.590427,13.823103,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
519,Jao By KRUA JIANG MAI,2.899657,12.163237,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
520,Jao Samut Seafood Buffet (Pattaya),-5.414524,6.464239,1,Restaurant with Good View,1,100.0,Restaurant with Good View
521,Jarn Nee Plaum Pasta & Bistro,3.830268,7.1791854,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
522,Jaspe At Wyndham Singapore Hotel,0.53425974,12.784845,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
523,Jass Bar & Bistro at Jasmine Resort Hotel,-0.7083519,8.664342,3,Good Location,1,100.0,Good Location
524,Je Khai Seafood,8.429779,12.426992,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
525,Jeawhonphrayalae,2.3771403,13.877701,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
526,Jenn's - PARC Bangna,3.484169,11.655172,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
527,Jibcharoen Bar & Bistro 酒狂,0.03552726,8.158116,3,Good Location,1,100.0,Good Location
528,Jimmy BBQ & Grill Grand Palazzo Hotel (Pattaya),-3.7207465,6.919466,1,Restaurant with Good View,1,100.0,Restaurant with Good View
529,Jim​ Sa​ Jui​ Station (Ayutthaya),0.2259251,15.402828,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
530,Jindarin Cafe (Nakhon Ratchasima),0.27393287,16.349531,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
531,Jinshin Omakase,3.2612696,0.88513595,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
532,Jobteeyum Ladprao,3.856941,9.450558,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
533,Jojo Soba,2.521309,10.785464,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
534,Jok Jab Sen Banthat Thong,4.331645,9.836856,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
535,Journey Café - A Chatrium Collection (Khao Yai),-0.101695985,15.630346,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
536,JuadJaad Ratchaphruek,3.8237545,10.09841,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
537,Junichi Japanese Restaurant,0.41740516,12.0343685,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
538,KAWA Izakaya On Nut,5.6722226,13.8694105,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
539,KBBQ Lad Phrao,4.7566257,9.083382,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
540,KBBQ Nawamin,5.5671926,11.892868,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
541,KBBQ Rangsit,5.836502,8.820468,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
542,KBBQ Sukhumvit,-1.2651234,8.237014,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
543,KBBQ The Street Ratchada,5.4823813,9.542018,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
544,KIN Steak,7.99055,10.282952,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
545,KO-YA Yakiniku,3.3980258,1.1678824,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
546,KORATA Siam Square,9.652055,3.9940274,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
547,KROK-A-CAFÉ ESPRESSO BAR ครก อะ คาเฟ เอสเปรสโซ บาร์ @ MASON,-1.5998281,11.910153,3,Good Location,1,100.0,Good Location
548,Kaarla Wood-Fire Grill & Bar,1.6638781,5.4791985,3,Good Location,1,100.0,Good Location
549,Kaen,8.405678,8.937951,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
550,Kaenkrung,3.6721895,9.277596,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
551,Kagonoya Central Rama 3,5.114124,3.8271372,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
552,Kagonoya Central Rama 9,5.5394726,4.525223,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
553,Kagonoya Mega Bangna,7.232546,6.546162,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
554,Kagonoya Mercury Ville,6.2258625,7.2836833,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
555,Kagonoya Siam Discovery,9.7098675,4.1067224,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
556,Kai Maeng-da Ta-lay Phao,0.6970427,12.629979,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
557,Kai Yang Samanong Phattanakan 53,5.0981812,9.299586,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
558,Kaikatok Wutthakat,3.9830768,11.050908,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
559,Kaiwa,2.7213051,10.130692,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
560,Kalanan Riverside Resort Staycation,-1.9768585,6.14258,1,Restaurant with Good View,1,100.0,Restaurant with Good View
561,Kam's Roast Central World,4.6637225,6.7352567,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
562,Kam's Roast ICONSIAM,4.094986,8.279058,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
563,Kam's Roast Mega Bangna,3.617719,12.854467,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
564,Kang Ban Phe (Rayong),4.2784557,9.953141,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
565,Kanomjeenyoksod,2.7041152,12.211335,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
566,Kanpai Omakase,3.2631822,0.82260376,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
567,Kapi (Surat Thani),4.021447,9.904897,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
568,Kapitan Bar & Restaurant,-1.938224,11.358035,3,Good Location,1,100.0,Good Location
569,Kappou Nihon Ratchapruek,4.1762853,11.664286,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
570,Karawa Omakase,2.7027113,1.1059563,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
571,Karayama Cosmo Bazaar,3.8354793,12.677764,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
572,Karayama Future Park Rangsit,1.9265054,7.9980974,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
573,Karayama Samyan Mitrtown,6.729261,13.259194,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
574,Karayama Siam Square One,9.395048,4.312753,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
575,Karayama Terminal 21 Rama 3,6.2004995,3.2560616,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
576,Kato Omakase,2.866655,1.1959103,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
577,Katsuya Central Rama 2,5.441964,4.2057486,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
578,Katsuya Central Westgate,4.1287675,5.2285075,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
579,Katsuya CentralWorld,2.8459044,8.590965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
580,Katsuya Cosmo Bazaar,6.1487694,11.042038,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
581,Katsuya Fashion Island,6.1249495,11.585572,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
582,Katsuya Fortune Town,4.08703,9.847634,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
583,Katsuya Future Park Rangsit,2.37226,7.526954,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
584,Katsuya Gateway Ekamai,3.2692595,8.412106,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
585,Katsuya Imperial World Samrong,4.314021,10.354113,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
586,Katsuya Mega Bangna,4.9133825,9.482741,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
587,Katsuya Siam Square One,9.861569,4.2836385,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
588,Katsuya Union Mall,5.9389234,11.146582,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
589,Kazama,6.2642355,14.144342,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
590,Kem-Kon (Pahurat),4.2817583,12.819293,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
591,Kenny’s BKK Sukhumvit 31,-0.6494421,8.383166,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
592,Kensington English Garden Resort Staycation (Khao Yai),-2.3247004,5.946051,1,Restaurant with Good View,1,100.0,Restaurant with Good View
593,Keyaki at Pan Pacific Hotel Singapore,0.011959058,12.441727,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
594,Khanom Jeen Phuket Baan A-Ma,0.053012684,4.1288557,1,Restaurant with Good View,1,100.0,Restaurant with Good View
595,Khao Ekkamai,2.9822073,10.735502,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
596,Khao Yai Art Tree,1.6643451,14.385256,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
597,Khaodongmoodaeng Siriraj Wang Lang,3.4747553,11.883166,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
598,Khrua Baan Suan,2.3843803,11.659863,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
599,Khun Rose Cuisine (Pattaya),-4.129724,7.6618023,1,Restaurant with Good View,1,100.0,Restaurant with Good View
600,Khun Toom Kitchen Saimai Avenue,3.3815055,8.20976,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
601,Kichi Omakase,3.2519715,1.0723561,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
602,Kin A Rai Dee Cafe and Restaurant,1.348359,16.017515,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
603,Kin Chan Si Grilled FISH & ISAAN Thai Food,3.432322,9.080202,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
604,Kindee Bistro (Phuket),0.28449222,6.2996173,1,Restaurant with Good View,1,100.0,Restaurant with Good View
605,Kindee Cafe,1.101193,15.998959,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
606,King Seafood (Pattaya),-5.5826607,6.735495,1,Restaurant with Good View,1,100.0,Restaurant with Good View
607,Kinnaree Restaurant Sukhumvit 8,-1.295549,8.693771,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
608,Kinsaru,6.985904,10.829702,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
609,Kintub Thai Mookata,1.6262478,11.622779,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
610,Kisekhi Craft and Fusion Buffet,7.1588945,8.448631,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
611,Kisso at The Westin Grande Sukhumvit,-1.211546,8.00274,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
612,Kitchen Yu Pin,2.827316,7.118902,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food
613,Kizuna Shabu & Hand Roll,7.611324,6.235357,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey
614,Klindin Cafe & Restaurant,1.284724,16.089998,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
615,Knock Knock Cafe & Bar,0.27808404,15.577114,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options
