restaurant name,UMAP Component 1 (Semantic Similarity Axis),UMAP Component 2 (Theme Variation Axis),cluster,Primary Theme,Number of Posts,Primary Theme %,All Themes,restaurant_id,name,days_in_advance
Fomo Brunch & Dining (Chonburi),0.71310574,13.723602,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5925,Fomo Brunch & Dining (Chonburi),90
Frame Cafe & Restaurant,1.4933184,16.006044,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,4792,Frame Cafe & Restaurant,90
Friend Station On Nut 44-46,5.921032,11.917503,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5163,Friend Station On Nut 44-46,90
Fu Lin Bar & Kitchen (Clarke Quay),-2.8442292,11.360532,3,Good Location,1,100.0,Good Location,6151,Fu Lin Bar & Kitchen (Clarke Quay),90
Fueng Fah at Mövenpick Suriwongse Hotel (Chiang Mai),0.5117036,11.050807,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4787,Fueng Fah at Mövenpick Suriwongse Hotel (Chiang Mai),90
Fufu Shabu Ari,7.589952,5.3004346,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4386,Fufu Shabu Ari,90
Fufu Shabu G Tower Grand Rama 9,6.836486,3.8844063,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4387,Fufu Shabu G Tower Grand Rama 9,90
Fufu Shabu Rama 4,7.13679,4.286198,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4385,Fufu Shabu Rama 4,90
Fujiyama Sashimi & Shabu Buffet,7.889788,7.1556754,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5538,Fujiyama Sashimi & Shabu Buffet,90
GINGER FARM kitchen at Central Phuket,1.8845416,5.16129,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5912,GINGER FARM kitchen at Central Phuket,90
GaGa Udon House Thong Lor,2.755272,18.140806,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3897,GaGa Udon House Thong Lor,90
Garret Fish & Chips Ari,3.031998,9.125154,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5218,Garret Fish & Chips Ari,90
Garret Fish & Chips Sammakorn,2.971823,8.739679,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5219,Garret Fish & Chips Sammakorn,90
Gekka,3.4681802,12.397041,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4623,Gekka,90
Ginger Farm Kitchen 101 True Digital Park,2.1958575,7.089177,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4644,Ginger Farm Kitchen 101 True Digital Park,90
Ginger Farm Kitchen Centralworld,2.3244915,7.169439,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5109,Ginger Farm Kitchen Centralworld,90
Ginger Farm kitchen Terminal 21 (Pattaya),-3.7076442,6.8570952,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5103,Ginger Farm kitchen Terminal 21 (Pattaya),90
Gingerbread House,3.3548102,17.749922,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5576,Gingerbread House,90
Ginpao Phochana,3.0131867,10.142621,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5696,Ginpao Phochana,90
Ginprik,2.88539,10.057183,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3198,Ginprik,90
Glai Hwor,3.3351986,11.414365,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5410,Glai Hwor,90
Gluttony by The Sin,3.4028933,13.179403,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6308,Gluttony by The Sin,90
Gogilang,5.25194,13.141698,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5654,Gogilang,90
Goji Kitchen Grill & Bar at Pattaya Marriott Resort and Spa (Pattaya),-3.5146825,6.8259006,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6625,Goji Kitchen Grill & Bar at Pattaya Marriott Resort and Spa (Pattaya),90
Golden State Vegan,3.1509657,3.7951777,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5004,Golden State Vegan,90
Goodie Steak @ Bang Phlat,8.235116,10.204565,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6384,Goodie Steak @ Bang Phlat,90
Goodie Steak @ Fai Chai – Phran Nok,7.967148,10.047562,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6383,Goodie Steak @ Fai Chai – Phran Nok,90
Goodie Steak @ Wutthakat,7.589655,9.888424,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6382,Goodie Steak @ Wutthakat,90
Got to Grill,2.301301,5.4513936,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5006,Got to Grill,90
Gotoku by Shabu King,7.7674546,5.778447,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4922,Gotoku by Shabu King,90
Great&Grand Sweet Destination (Pattaya),-4.7684636,7.2938585,1,Restaurant with Good View,1,100.0,Restaurant with Good View,2770,Great&Grand Sweet Destination (Pattaya),90
Greenhouse Congee & Noodles by Landmark,2.1657228,12.971188,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4770,Greenhouse Congee & Noodles by Landmark,90
Grilled Station,5.150751,8.918885,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4991,Grilled Station,90
Guzadrift Izakaya,2.4404166,15.460013,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,5105,Guzadrift Izakaya,90
Gyu En Siam Yakiniku,9.937944,4.3936243,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5082,Gyu En Siam Yakiniku,90
GyuBei Yakiniku,3.4597802,7.121063,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6248,GyuBei Yakiniku,90
Gyunobi Yakiniku,4.4339533,9.040018,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5061,Gyunobi Yakiniku,90
HAJI land,3.4151723,9.707542,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6556,HAJI land,90
HANJI Taiwanese Hot Pot Sala Daeng,2.9631288,11.518496,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5715,HANJI Taiwanese Hot Pot Sala Daeng,90
HANJI Taiwanese Hot Pot Thonglor,0.44430265,9.998591,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5714,HANJI Taiwanese Hot Pot Thonglor,90
HEY Mookrata - Charoen Nakhon,4.627105,9.417598,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5546,HEY Mookrata - Charoen Nakhon,90
HOUSE of TANGO,3.1978948,17.256884,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4576,HOUSE of TANGO,90
HUA SENG HONG Central Plaza Chaengwattana,3.5716767,5.4279914,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4985,HUA SENG HONG Central Plaza Chaengwattana,90
Habitat Hotel Staycation (Hua Hin),-2.3960397,2.746816,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3473,Habitat Hotel Staycation (Hua Hin),90
Hagi Centara Grand at Central Plaza Ladprao Bangkok,4.485415,6.18134,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3674,Hagi Centara Grand at Central Plaza Ladprao Bangkok,90
Hagi at Centara Grand Beach Resort & Villas (Hua Hin),-2.156447,3.276665,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4667,Hagi at Centara Grand Beach Resort & Villas (Hua Hin),90
Hagow Yaowarat,4.0743613,8.947633,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4823,Hagow Yaowarat,90
Hainanese Chicken Rice C.P Tower Silom,2.8856158,8.494325,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3709,Hainanese Chicken Rice C.P Tower Silom,90
Hanbab Korean Restaurant,2.2683249,11.474202,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3668,Hanbab Korean Restaurant,90
Hangetsu Omakase,2.9798248,0.5430114,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4109,Hangetsu Omakase,90
Happening Dine and Bar,-2.1111395,12.390092,3,Good Location,1,100.0,Good Location,6236,Happening Dine and Bar,90
Hard Rock Cafe Bangkok,0.2503178,16.660883,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,4712,Hard Rock Cafe Bangkok,90
Heights At BKK,2.2827697,14.251213,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4532,Heights At BKK,90
Hen Hao Ma La Sai Phan,1.3947885,7.6800857,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6370,Hen Hao Ma La Sai Phan,90
Heng Heng Lao Suthisan,5.397916,12.819535,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5883,Heng Heng Lao Suthisan,90
Hiateeyai @ Samyan,3.868587,11.905129,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6067,Hiateeyai @ Samyan,90
Hidden House Cafe & Bistro (Samut Sakhon),1.2271159,14.952856,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,6859,Hidden House Cafe & Bistro (Samut Sakhon),90
High River Café (Ratchaburi),1.3667706,16.175686,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,3767,High River Café (Ratchaburi),90
High Tea by Pickaboo,-0.54509777,10.112625,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3234,High Tea by Pickaboo,90
HighHouse,3.91761,14.270568,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6060,HighHouse,90
"Hmmmm, Grilled Pork Udomsuk",4.5085535,8.872316,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5612,"Hmmmm, Grilled Pork Udomsuk",90
Ho Kitchen Rama 3,5.9416223,3.0087986,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6571,Ho Kitchen Rama 3,90
Hogar bar,-1.788857,11.999777,3,Good Location,1,100.0,Good Location,5893,Hogar bar,90
Holli Bolli Rooftop Bar @ Radisson Suites Bangkok Sukhumvit,-3.8848088,10.273196,3,Good Location,1,100.0,Good Location,4432,Holli Bolli Rooftop Bar @ Radisson Suites Bangkok Sukhumvit,90
Hom Cham,3.7323117,11.580348,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5191,Hom Cham,90
Hom Duan,2.055193,10.742258,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6232,Hom Duan,90
Homie Bar & Restaurant,-1.504207,12.323605,3,Good Location,1,100.0,Good Location,5800,Homie Bar & Restaurant,90
Hong Kong Fisherman,1.8242278,9.21404,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,1801,Hong Kong Fisherman,90
Hong Teh Chinese Restaurant,1.7291012,8.876301,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,1878,Hong Teh Chinese Restaurant,90
Honomi Shabu & Omakase,3.458592,0.69700766,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6158,Honomi Shabu & Omakase,90
Hooligan by Apache,-2.71785,5.119364,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6592,Hooligan by Apache,90
House of Chandra Nakhon Pathom,2.5225224,18.24176,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5401,House of Chandra Nakhon Pathom,90
House of Kin KORAT Centara Korat (Nakhon Ratchasima),2.8290892,18.251354,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3913,House of Kin KORAT Centara Korat (Nakhon Ratchasima),90
Hoy Mahachon,2.9029477,13.86154,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4704,Hoy Mahachon,90
Huajai Siam Square One,9.987817,4.2273073,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4695,Huajai Siam Square One,90
Hump zaabb,4.341188,14.810125,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4929,Hump zaabb,90
Hunger Bear (Nakhon Sawan),5.181252,12.501074,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5719,Hunger Bear (Nakhon Sawan),90
Hungry Brown Eat and Coffee Roasters,-1.362538,14.385525,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6651,Hungry Brown Eat and Coffee Roasters,90
Huolong Chinese Mala HotPot & Grill,3.0562825,7.4239526,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3381,Huolong Chinese Mala HotPot & Grill,90
Hyde & Seek Athenee Tower,4.9505267,15.114249,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3904,Hyde & Seek Athenee Tower,90
Hyde & Seek Silom Edge,-3.0429606,8.661583,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3903,Hyde & Seek Silom Edge,90
IDYLL Bistro Rama 3,0.15552606,6.96928,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4565,IDYLL Bistro Rama 3,90
IKKI IZAKAYA,1.7148641,13.036763,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5895,IKKI IZAKAYA,90
IMPACT Lakefront,4.6464663,14.928052,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5956,IMPACT Lakefront,90
ISEA Sky & The Jetty At Veranda Resort Na Jomtien (Pattaya),-2.793727,6.729804,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5425,ISEA Sky & The Jetty At Veranda Resort Na Jomtien (Pattaya),90
Ichi-Meshi Rangsit,5.0796113,11.963291,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5233,Ichi-Meshi Rangsit,90
Ichi-Meshi Salaya,6.3001256,11.975324,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5232,Ichi-Meshi Salaya,90
Im Pla Phao Prannok,3.549027,10.150181,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6293,Im Pla Phao Prannok,90
Im-Erb Rama2,5.651506,6.296961,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4248,Im-Erb Rama2,90
Indigo Bar at Bay Beach Resort Jomtien (Pattaya),-2.9873807,5.7480226,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5342,Indigo Bar at Bay Beach Resort Jomtien (Pattaya),90
Indigo Rooftop Bar (Pattaya),-3.683618,8.236019,3,Good Location,1,100.0,Good Location,6013,Indigo Rooftop Bar (Pattaya),90
Iron Pan Suanplern Market,2.8644536,12.267639,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5113,Iron Pan Suanplern Market,90
Isea Beach Bar at Veranda Resort & Villas (Hua Hin),-2.0358639,3.5086854,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4261,Isea Beach Bar at Veranda Resort & Villas (Hua Hin),90
Itaewon class (Khaoyai),5.5160294,12.864271,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5277,Itaewon class (Khaoyai),90
Izakaya Goichi 51,4.9041963,14.328119,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6662,Izakaya Goichi 51,90
Izakaya Naihua,4.899869,13.124834,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4399,Izakaya Naihua,90
Izumidai The Alley Ram Inthra,6.3834486,13.479582,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5975,Izumidai The Alley Ram Inthra,90
JAO Ping River Cruise at Anantara Chiang Mai Resort,-1.8662962,6.320612,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5842,JAO Ping River Cruise at Anantara Chiang Mai Resort,90
JP French,1.3270009,9.20689,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4916,JP French,90
JPteres at Grand Hyatt Kuala Lumpur,1.6117401,11.704572,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6838,JPteres at Grand Hyatt Kuala Lumpur,90
JUBANG Premium Aged BBQ Bangna,9.222221,7.951006,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5289,JUBANG Premium Aged BBQ Bangna,90
JUMBO Seafood Siam Paragon,10.26949,4.3695602,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2102,JUMBO Seafood Siam Paragon,240
Jaan Joor (Chiang Mai),2.6588948,11.798745,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6846,Jaan Joor (Chiang Mai),90
Jackson,4.7158318,14.12711,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6582,Jackson,90
Jacob Barn,6.7251086,9.949717,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6149,Jacob Barn,90
Jade At The Fullerton Hotel Singapore,0.83806986,12.3153515,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6139,Jade At The Fullerton Hotel Singapore,90
Jade Garden Pinklao,7.4559226,6.943165,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,4825,Jade Garden Pinklao,90
Jae Keang Banthat Thong,5.0950527,9.20616,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5276,Jae Keang Banthat Thong,90
Jaekoy Isaan Seafood Kingpetch Phetchaburi 10,7.694666,12.625843,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5074,Jaekoy Isaan Seafood Kingpetch Phetchaburi 10,90
Jaspe At Wyndham Singapore Hotel,0.53425974,12.784845,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6119,Jaspe At Wyndham Singapore Hotel,90
Jass Bar & Bistro at Jasmine Resort Hotel,-0.7083519,8.664342,3,Good Location,1,100.0,Good Location,4696,Jass Bar & Bistro at Jasmine Resort Hotel,90
Je Khai Seafood,8.429779,12.426992,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4850,Je Khai Seafood,90
Jeawhonphrayalae,2.3771403,13.877701,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5520,Jeawhonphrayalae,90
Jenn's - PARC Bangna,3.484169,11.655172,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6825,Jenn's - PARC Bangna,90
Jibcharoen Bar & Bistro 酒狂,0.03552726,8.158116,3,Good Location,1,100.0,Good Location,4930,Jibcharoen Bar & Bistro 酒狂,90
Jimmy BBQ & Grill Grand Palazzo Hotel (Pattaya),-3.7207465,6.919466,1,Restaurant with Good View,1,100.0,Restaurant with Good View,4803,Jimmy BBQ & Grill Grand Palazzo Hotel (Pattaya),90
Jim​ Sa​ Jui​ Station (Ayutthaya),0.2259251,15.402828,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,5621,Jim​ Sa​ Jui​ Station (Ayutthaya),90
Jindarin Cafe (Nakhon Ratchasima),0.27393287,16.349531,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,5443,Jindarin Cafe (Nakhon Ratchasima),90
Jinshin Omakase,3.2612696,0.88513595,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5446,Jinshin Omakase,90
Jobteeyum Ladprao,3.856941,9.450558,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5282,Jobteeyum Ladprao,90
Jojo Soba,2.521309,10.785464,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5274,Jojo Soba,90
Journey Café - A Chatrium Collection (Khao Yai),-0.101695985,15.630346,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,4201,Journey Café - A Chatrium Collection (Khao Yai),90
JuadJaad Ratchaphruek,3.8237545,10.09841,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6894,JuadJaad Ratchaphruek,90
KAWA Izakaya On Nut,5.6722226,13.8694105,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4866,KAWA Izakaya On Nut,90
KBBQ Lad Phrao,4.7566257,9.083382,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4434,KBBQ Lad Phrao,90
KBBQ Nawamin,5.5671926,11.892868,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4558,KBBQ Nawamin,90
KBBQ Rangsit,5.836502,8.820468,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4433,KBBQ Rangsit,90
KBBQ The Street Ratchada,5.4823813,9.542018,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2645,KBBQ The Street Ratchada,90
KIN Steak,7.99055,10.282952,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5600,KIN Steak,90
KO-YA Yakiniku,3.3980258,1.1678824,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5661,KO-YA Yakiniku,90
KROK-A-CAFÉ ESPRESSO BAR ครก อะ คาเฟ เอสเปรสโซ บาร์ @ MASON,-1.5998281,11.910153,3,Good Location,1,100.0,Good Location,4048,KROK-A-CAFÉ ESPRESSO BAR ครก อะ คาเฟ เอสเปรสโซ บาร์ @ MASON,90
Kaarla Wood-Fire Grill & Bar,1.6638781,5.4791985,3,Good Location,1,100.0,Good Location,6018,Kaarla Wood-Fire Grill & Bar,90
Kaenkrung,3.6721895,9.277596,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5263,Kaenkrung,90
Kagonoya Central Rama 3,5.114124,3.8271372,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6401,Kagonoya Central Rama 3,90
Kagonoya Central Rama 9,5.5394726,4.525223,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6400,Kagonoya Central Rama 9,90
Kagonoya Mega Bangna,7.232546,6.546162,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,6404,Kagonoya Mega Bangna,90
Kagonoya Siam Discovery,9.7098675,4.1067224,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6403,Kagonoya Siam Discovery,90
Kai Maeng-da Ta-lay Phao,0.6970427,12.629979,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5703,Kai Maeng-da Ta-lay Phao,90
Kai Yang Samanong Phattanakan 53,5.0981812,9.299586,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3010,Kai Yang Samanong Phattanakan 53,90
Kaikatok Wutthakat,3.9830768,11.050908,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5107,Kaikatok Wutthakat,90
Kaiwa,2.7213051,10.130692,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5989,Kaiwa,90
Kalanan Riverside Resort Staycation,-1.9768585,6.14258,1,Restaurant with Good View,1,100.0,Restaurant with Good View,5075,Kalanan Riverside Resort Staycation,90
Kam's Roast Central World,4.6637225,6.7352567,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,5251,Kam's Roast Central World,90
Kam's Roast ICONSIAM,4.094986,8.279058,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5252,Kam's Roast ICONSIAM,240
Kam's Roast Mega Bangna,3.617719,12.854467,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4066,Kam's Roast Mega Bangna,90
Kang Ban Phe (Rayong),4.2784557,9.953141,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5090,Kang Ban Phe (Rayong),90
Kanomjeenyoksod,2.7041152,12.211335,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5437,Kanomjeenyoksod,90
Kanpai Omakase,3.2631822,0.82260376,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3891,Kanpai Omakase,90
Kapi (Surat Thani),4.021447,9.904897,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5758,Kapi (Surat Thani),90
Kappou Nihon Ratchapruek,4.1762853,11.664286,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3276,Kappou Nihon Ratchapruek,90
Karawa Omakase,2.7027113,1.1059563,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6144,Karawa Omakase,90
Karayama Future Park Rangsit,1.9265054,7.9980974,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4021,Karayama Future Park Rangsit,90
Karayama Samyan Mitrtown,6.729261,13.259194,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2866,Karayama Samyan Mitrtown,90
Karayama Siam Square One,9.395048,4.312753,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,2861,Karayama Siam Square One,90
Karayama Terminal 21 Rama 3,6.2004995,3.2560616,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3378,Karayama Terminal 21 Rama 3,90
Katsuya Central Rama 2,5.441964,4.2057486,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3256,Katsuya Central Rama 2,90
Katsuya Central Westgate,4.1287675,5.2285075,2,Attentive Service but Pricey,1,100.0,Attentive Service but Pricey,3797,Katsuya Central Westgate,90
Katsuya CentralWorld,2.8459044,8.590965,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3796,Katsuya CentralWorld,90
Katsuya Fashion Island,6.1249495,11.585572,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3259,Katsuya Fashion Island,90
Katsuya Fortune Town,4.08703,9.847634,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3262,Katsuya Fortune Town,90
Katsuya Future Park Rangsit,2.37226,7.526954,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3255,Katsuya Future Park Rangsit,90
Katsuya Gateway Ekamai,3.2692595,8.412106,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3258,Katsuya Gateway Ekamai,90
Katsuya Imperial World Samrong,4.314021,10.354113,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3263,Katsuya Imperial World Samrong,90
Katsuya Mega Bangna,4.9133825,9.482741,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3261,Katsuya Mega Bangna,90
Katsuya Siam Square One,9.861569,4.2836385,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3254,Katsuya Siam Square One,90
Katsuya Union Mall,5.9389234,11.146582,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,3257,Katsuya Union Mall,90
Kem-Kon (Pahurat),4.2817583,12.819293,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,4711,Kem-Kon (Pahurat),90
Kenny’s BKK Sukhumvit 31,-0.6494421,8.383166,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5473,Kenny’s BKK Sukhumvit 31,90
Kensington English Garden Resort Staycation (Khao Yai),-2.3247004,5.946051,1,Restaurant with Good View,1,100.0,Restaurant with Good View,3545,Kensington English Garden Resort Staycation (Khao Yai),90
Keyaki at Pan Pacific Hotel Singapore,0.011959058,12.441727,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5459,Keyaki at Pan Pacific Hotel Singapore,90
Khanom Jeen Phuket Baan A-Ma,0.053012684,4.1288557,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6025,Khanom Jeen Phuket Baan A-Ma,90
Khao Yai Art Tree,1.6643451,14.385256,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5949,Khao Yai Art Tree,90
Khrua Baan Suan,2.3843803,11.659863,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,6247,Khrua Baan Suan,90
Khun Rose Cuisine (Pattaya),-4.129724,7.6618023,1,Restaurant with Good View,1,100.0,Restaurant with Good View,6623,Khun Rose Cuisine (Pattaya),90
Khun Toom Kitchen Saimai Avenue,3.3815055,8.20976,0,Various Menus & Quality Food,1,100.0,Various Menus & Quality Food,5426,Khun Toom Kitchen Saimai Avenue,90
Kin A Rai Dee Cafe and Restaurant,1.348359,16.017515,4,Extensive Alcohol Beverage Options,1,100.0,Extensive Alcohol Beverage Options,6572,Kin A Rai Dee Cafe and Restaurant,90
